sample_id,scenario_type,constraint_count,exact_phrase_candidates,all_token_candidates,bm25_cutoff_candidates,dense_nn_candidates,hybrid_candidates,oracle_only
public_0077,browsing,3,1,77,192,252,39,True
public_0077,browsing,4,1,51,183,175,35,True
public_0078,intent_override,0,33,1055,48,21,51,True
public_0078,intent_override,1,23,450,58,69,39,True
public_0078,intent_override,2,1,192,63,135,48,True
public_0078,intent_override,3,1,147,72,171,41,True
public_0078,intent_override,4,1,51,74,192,38,True
public_0079,browsing,0,44,871,174,260,58,True
public_0079,browsing,1,23,358,178,224,52,True
public_0079,browsing,2,2,31,153,439,45,True
public_0079,browsing,3,1,19,8,31,47,True
public_0079,browsing,4,1,19,7,68,52,True
public_0080,intent_override,0,152,3661,63,173,39,True
public_0080,intent_override,1,92,2396,60,181,25,True
public_0080,intent_override,2,8,895,13,298,27,True
public_0080,intent_override,3,8,552,14,314,26,True
public_0080,intent_override,4,5,112,60,422,44,True
public_0081,browsing,0,48,423,48,36,52,True
public_0081,browsing,1,35,230,51,170,51,True
public_0081,browsing,2,26,195,58,83,60,True
public_0081,browsing,3,14,59,75,28,47,True
public_0081,browsing,4,14,51,93,140,32,True
public_0082,buying,0,46,615,32,234,39,True
public_0082,buying,1,1,275,5,29,45,True
public_0082,buying,2,1,91,6,20,46,True
public_0082,buying,3,1,67,4,10,42,True
public_0082,buying,4,1,67,1,9,36,True
public_0083,buying,0,681,2400,285,199,48,True
public_0083,buying,1,318,1105,299,245,51,True
public_0083,buying,2,145,743,315,262,45,True
public_0083,buying,3,64,327,325,227,47,True
public_0083,buying,4,31,180,342,190,54,True
public_0084,intent_override,0,258,2317,93,230,65,True
public_0084,intent_override,1,12,98,61,209,70,True
public_0084,intent_override,2,1,13,78,154,54,True
public_0084,intent_override,3,1,13,56,311,38,True
public_0084,intent_override,4,1,3,85,239,66,True
public_0085,browsing,0,195,1476,104,64,58,True
public_0085,browsing,1,18,122,101,90,46,True
public_0085,browsing,2,1,24,93,308,25,True
public_0085,browsing,3,1,22,45,59,32,True
public_0085,browsing,4,1,14,3,25,24,True
public_0086,browsing,0,548,13893,161,677,46,True
public_0086,browsing,1,248,6682,219,533,37,True
public_0086,browsing,2,1,1004,126,298,39,True
public_0086,browsing,3,1,383,83,157,48,True
public_0086,browsing,4,1,244,56,220,54,True
public_0087,browsing,0,288,3555,263,83,46,True
public_0087,browsing,1,214,1848,221,214,52,True
public_0087,browsing,2,125,1439,224,139,60,True
public_0087,browsing,3,82,676,238,189,70,True
public_0087,browsing,4,60,366,256,126,76,True
public_0088,buying,0,24,168,60,132,46,True
public_0088,buying,1,15,93,76,82,52,True
public_0088,buying,2,2,70,81,92,45,True
public_0088,buying,3,1,34,86,97,36,True
public_0088,buying,4,1,30,99,95,45,True
public_0089,intent_override,0,45,343,113,128,64,True
public_0089,intent_override,1,11,60,49,208,63,True
public_0089,intent_override,2,2,36,56,233,54,True
public_0089,intent_override,3,1,19,60,255,59,True
public_0089,intent_override,4,1,4,72,105,53,True
public_0090,buying,0,2149,24420,136,824,19,True
public_0090,buying,1,1,4228,15,3,44,True
public_0090,buying,2,0,857,9,1,46,True
public_0090,buying,3,0,494,2,1,45,True
public_0090,buying,4,0,494,1,1,47,True
public_0091,browsing,0,1255,6875,587,734,58,True
public_0091,browsing,1,1,1755,361,32,51,True
public_0091,browsing,2,0,523,375,32,48,True
public_0091,browsing,3,0,436,203,39,51,True
public_0091,browsing,4,0,407,71,35,47,True
public_0092,browsing,0,284,1161,230,53,52,True
public_0092,browsing,1,119,453,243,148,56,True
public_0092,browsing,2,15,150,230,160,58,True
public_0092,browsing,3,7,59,236,152,56,True
public_0092,browsing,4,2,13,172,194,62,True
public_0093,buying,0,45,343,113,128,64,True
public_0093,buying,1,33,197,101,154,65,True
public_0093,buying,2,1,43,127,83,47,True
public_0093,buying,3,1,22,131,80,47,True
public_0093,buying,4,1,11,179,73,46,True
public_0094,buying,0,138,896,66,113,53,True
public_0094,buying,1,67,397,68,211,52,True
public_0094,buying,2,10,169,90,312,38,True
public_0094,buying,3,2,95,212,341,34,True
public_0094,buying,4,1,54,95,86,39,True
public_0095,buying,0,129,22262,171,137,59,True
public_0095,buying,1,63,5472,197,136,63,True
public_0095,buying,2,3,964,127,191,60,True
public_0095,buying,3,1,340,136,251,69,True
public_0095,buying,4,1,176,169,229,30,True
public_0096,intent_override,0,680,3567,314,510,25,True
public_0096,intent_override,1,246,1615,360,621,36,True
public_0096,intent_override,2,21,496,407,565,46,True
public_0096,intent_override,3,12,196,384,735,55,True
public_0096,intent_override,4,10,142,466,610,32,True
public_0097,buying,0,129,22262,171,137,59,True
public_0097,buying,1,63,5472,197,136,63,True
public_0097,buying,2,11,2223,220,151,61,True
public_0097,buying,3,4,590,273,278,53,True
public_0097,buying,4,4,335,332,101,38,True
public_0098,browsing,0,522,1644,113,43,39,True
public_0098,browsing,1,8,393,115,30,39,True
public_0098,browsing,2,1,57,180,55,28,True
public_0098,browsing,3,1,17,187,27,43,True
public_0098,browsing,4,1,4,227,19,48,True
public_0099,browsing,0,127,1494,134,204,57,True
public_0099,browsing,1,61,547,144,257,63,True
public_0099,browsing,2,5,213,109,347,58,True
public_0099,browsing,3,5,102,113,484,51,True
public_0099,browsing,4,4,48,157,309,46,True
public_0100,browsing,0,665,4490,114,221,65,True
public_0100,browsing,1,410,1578,143,179,64,True
public_0100,browsing,2,224,1273,141,96,61,True
public_0100,browsing,3,33,472,166,163,58,True
public_0100,browsing,4,3,112,175,93,35,True
public_0101,buying,0,31,181,43,28,59,True
public_0101,buying,1,14,78,45,22,41,True
public_0101,buying,2,0,9,46,33,52,True
public_0101,buying,3,0,6,39,23,42,True
public_0101,buying,4,0,3,39,19,41,True
public_0102,browsing,0,231,925,59,95,66,True
public_0102,browsing,1,110,259,60,93,51,True
public_0102,browsing,2,1,33,20,4,53,True
public_0102,browsing,3,1,11,22,2,52,True
public_0102,browsing,4,1,9,19,2,43,True
public_0103,intent_override,0,48,423,48,36,52,True
public_0103,intent_override,1,35,230,51,170,51,True
public_0103,intent_override,2,1,17,28,105,62,True
public_0103,intent_override,3,0,17,40,130,62,True
public_0103,intent_override,4,0,6,47,127,45,True
public_0104,boundary,0,55,832,34,210,45,True
public_0104,boundary,1,3,45,35,303,50,True
public_0104,boundary,2,1,12,43,10,47,True
public_0104,boundary,3,1,5,51,7,35,True
public_0104,boundary,4,1,2,30,7,37,True
public_0105,browsing,0,129,22262,171,137,59,True
public_0105,browsing,1,63,5472,197,136,63,True
public_0105,browsing,2,5,886,250,211,61,True
public_0105,browsing,3,1,312,250,279,54,True
public_0105,browsing,4,1,127,5,1,34,True
public_0106,buying,0,52,1078,116,89,40,True
public_0106,buying,1,30,436,179,269,47,True
public_0106,buying,2,4,336,185,208,47,True
public_0106,buying,3,3,262,218,123,43,True
public_0106,buying,4,1,169,54,25,47,True
public_0107,buying,0,9,394,180,5,63,True
public_0107,buying,1,4,57,195,8,49,True
public_0107,buying,2,1,21,93,29,41,True
public_0107,buying,3,1,9,100,41,43,True
public_0107,buying,4,1,7,112,19,39,True
public_0108,buying,0,28,3053,317,229,61,True
public_0108,buying,1,3,1137,269,356,44,True
public_0108,buying,2,1,200,96,336,54,True
public_0108,buying,3,1,84,95,224,67,True
public_0108,buying,4,1,40,132,166,51,True
public_0109,buying,0,1357,6551,389,353,46,True
public_0109,buying,1,248,1973,544,437,42,True
public_0109,buying,2,1,187,155,284,59,True
public_0109,buying,3,1,94,158,214,48,True
public_0109,buying,4,1,34,190,203,68,True
public_0110,browsing,0,276,1765,171,103,48,True
public_0110,browsing,1,73,126,213,201,55,True
public_0110,browsing,2,1,36,196,115,59,True
public_0110,browsing,3,1,12,189,75,58,True
public_0110,browsing,4,1,11,64,44,46,True
public_0111,buying,0,380,583,115,79,55,True
public_0111,buying,1,108,184,124,195,55,True
public_0111,buying,2,1,24,123,246,36,True
public_0111,buying,3,1,11,135,299,37,True
public_0111,buying,4,1,8,251,163,31,True
public_0112,boundary,0,370,1847,185,132,57,True
public_0112,boundary,1,78,366,220,539,61,True
public_0112,boundary,2,6,344,288,819,57,True
public_0112,boundary,3,1,196,267,389,57,True
public_0112,boundary,4,1,191,164,475,65,True
public_0113,browsing,0,548,13893,161,677,46,True
public_0113,browsing,1,5,115,171,277,44,True
public_0113,browsing,2,3,63,196,929,23,True
public_0113,browsing,3,1,42,375,114,42,True
public_0113,browsing,4,1,29,225,71,47,True
public_0114,buying,0,1031,9878,262,227,46,True
public_0114,buying,1,587,4281,324,959,36,True
public_0114,buying,2,1,2086,383,463,54,True
