fixture_id,memory_id,memory_text,label,component,coefficient,projected_energy,projected_energy_share
u3_distractor_s9_final,memory_15efd52c6253dddd3462efc0c31635c7dbf46b6691aa6dd12f4cd8691f887452,budget: at most 120,USEFUL_ADDITIONAL_STEERING,16,-0.02671599125960723,0.0007137441889834099,0.04422400617488581
u3_distractor_s9_final,memory_c967c109733561ea2882f5d74bc12dd5f16dfa6ecb36b827ee5bf92872afae18,material: breathable,USEFUL_ADDITIONAL_STEERING,1,-0.19807272256997635,0.03923280342628282,0.478458872175298
u3_distractor_s9_final,memory_c967c109733561ea2882f5d74bc12dd5f16dfa6ecb36b827ee5bf92872afae18,material: breathable,USEFUL_ADDITIONAL_STEERING,8,-0.11130050736975461,0.0123878029407648,0.15107394083894388
u3_distractor_s9_final,memory_c967c109733561ea2882f5d74bc12dd5f16dfa6ecb36b827ee5bf92872afae18,material: breathable,USEFUL_ADDITIONAL_STEERING,6,0.1026835516048599,0.010543911770187925,0.12858699081647415
u3_distractor_s9_final,memory_c967c109733561ea2882f5d74bc12dd5f16dfa6ecb36b827ee5bf92872afae18,material: breathable,USEFUL_ADDITIONAL_STEERING,4,-0.09186739375615832,0.008439618035549037,0.10292433306394706
u3_distractor_s9_final,memory_c967c109733561ea2882f5d74bc12dd5f16dfa6ecb36b827ee5bf92872afae18,material: breathable,USEFUL_ADDITIONAL_STEERING,16,-0.04918067586041918,0.002418738878087618,0.02949743517235048
u3_distractor_s9_final,memory_e720f6f085766c182bf0013e35b20eb1a6518e875716d87d2094656e86b2e7a5,style: dressy,SAME_CATEGORY_HARD_NEGATIVE,2,0.22806903933662556,0.05201548670393126,0.41102310417663507
u3_distractor_s9_final,memory_e720f6f085766c182bf0013e35b20eb1a6518e875716d87d2094656e86b2e7a5,style: dressy,SAME_CATEGORY_HARD_NEGATIVE,1,-0.18702433855748113,0.03497810321286332,0.2763947714763041
u3_distractor_s9_final,memory_e720f6f085766c182bf0013e35b20eb1a6518e875716d87d2094656e86b2e7a5,style: dressy,SAME_CATEGORY_HARD_NEGATIVE,6,0.13909565796178508,0.019347602063821905,0.1528835345502078
u3_distractor_s9_final,memory_e720f6f085766c182bf0013e35b20eb1a6518e875716d87d2094656e86b2e7a5,style: dressy,SAME_CATEGORY_HARD_NEGATIVE,5,-0.06469306876215856,0.0041851931458653764,0.03307113299128954
